printed from child process 2962
Date		Store ID	Regester #	Sales Amount	
9/8/2016	1		4		206.39
2/12/2016	1		4		172.05
4/8/2016	2		4		701.34
25/2/2016	1		5		781.86
25/4/2016	1		4		574.67
19/4/2016	2		4		930.29
11/4/2016	2		3		102.86
11/7/2016	1		6		782.35
23/9/2016	2		2		240.83
25/6/2016	1		3		958.99
17/9/2016	1		3		515.93
10/4/2016	1		6		374.52
23/7/2016	2		6		110.70
30/3/2016	2		1		223.52
17/1/2016	2		4		9.83
6/10/2016	1		4		766.69
27/10/2016	2		2		733.84
17/7/2016	1		5		202.76
27/12/2016	2		5		102.26
21/5/2016	1		4		811.85
17/6/2016	2		5		246.68
11/12/2016	1		4		755.94
27/6/2016	2		3		746.72
2/4/2016	1		3		858.35
5/7/2016	2		3		30.19
13/4/2016	1		3		964.88
27/7/2016	2		4		111.45
18/2/2016	1		4		259.00
14/3/2016	2		4		616.81
19/3/2016	1		6		515.03
11/8/2016	2		5		753.06
14/6/2016	2		6		623.28
17/11/2016	1		5		893.84
3/6/2016	2		5		510.28
21/12/2016	1		5		739.15
1/6/2016	1		2		494.67
24/3/2016	2		6		814.94
8/9/2016	1		1		564.15
7/1/2016	2		3		865.82
18/2/2016	1		6		725.95
1/2/2016	1		5		285.38
3/3/2016	2		5		15.26
27/1/2016	2		3		369.45
28/7/2016	2		5		632.31
3/8/2016	1		4		427.97
4/2/2016	2		5		667.28
16/7/2016	2		2		278.06
30/8/2016	1		4		485.89
4/4/2016	2		2		766.85
10/1/2016	1		3		527.87
26/10/2016	2		4		962.78
20/6/2016	1		1		502.74
7/1/2016	2		6		51.47
13/5/2016	1		6		470.35
9/2/2016	2		2		823.23
9/11/2016	1		6		354.88
26/4/2016	2		1		429.60
6/12/2016	1		5		710.93
28/10/2016	2		4		762.74
22/4/2016	2		2		946.97
4/3/2016	1		6		908.79
5/1/2016	1		3		699.89
12/7/2016	2		1		324.32
25/6/2016	2		3		389.51
18/1/2016	1		1		868.91
28/10/2016	2		3		872.05
21/6/2016	1		4		47.72
2/8/2016	1		1		534.42
14/1/2016	1		4		752.63
18/6/2016	1		5		558.55
20/11/2016	2		1		434.20
6/1/2016	1		3		796.83
Local statistics 796.83 ID: 139692408706624
Local statistics 434.20 ID: 139692417099328
printed from parent process 2961
Store 1 total sales: 260232
Store 2 total sales: 252132
Month 1 total sales 
for store 1 21884.5
for store 2 21655.1
Month 2 total sales 
for store 1 24240
for store 2 15991.2
Month 3 total sales 
for store 1 18303.1
for store 2 22301
Month 4 total sales 
for store 1 20336.7
for store 2 28030.1
Month 5 total sales 
for store 1 26122.5
for store 2 19690.1
Month 6 total sales 
for store 1 18730.7
for store 2 21180.6
Month 7 total sales 
for store 1 20335.9
for store 2 18474.7
Month 8 total sales 
for store 1 21742.2
for store 2 17736
Month 9 total sales 
for store 1 21922.1
for store 2 21622.4
Month 10 total sales 
for store 1 21202.3
for store 2 24779.4
Month 11 total sales 
for store 1 22026.7
for store 2 19242.3
Month 12 total sales 
for store 1 23385.6
for store 2 21428.7
Aggregate sales 512364
Program execution time: 10807.4ms
